URL сайта,Время обработки (сек),Кол-во найденных ссылок,Имя файла с результатом
https://stackoverflow.com/teams/integrations/okta/,13.033545017242432,12,stackoverflow.com_sitemap.csv
https://stackoverflow.com/teams/integrations/slack/,12.10789680480957,1,stackoverflow.com_sitemap.csv
https://stackoverflow.com/teams/customers/,11.110914707183838,9,stackoverflow.com_sitemap.csv
https://stackoverflow.com/teams/roi/,10.857832193374634,0,stackoverflow.com_sitemap.csv
https://stackoverflow.com/teams/use-cases/product-management/,9.830355882644653,7,stackoverflow.com_sitemap.csv
https://stackoverflow.com/teams/use-cases/customer-support/,8.580688953399658,6,stackoverflow.com_sitemap.csv
https://stackoverflow.com/teams/use-cases/engineering/,7.547006845474243,5,stackoverflow.com_sitemap.csv
https://stackoverflow.com/questions/,6.528942108154297,357,stackoverflow.com_sitemap.csv
https://stackoverflow.com/legal/,5.7149271965026855,51,stackoverflow.com_sitemap.csv
https://stackoverflow.com/legal/privacy-policy/,5.141777992248535,53,stackoverflow.com_sitemap.csv
https://stackoverflow.com/legal/terms-of-service/,4.51735782623291,51,stackoverflow.com_sitemap.csv
https://stackoverflow.com/legal/cookie-policy/,3.9255611896514893,29,stackoverflow.com_sitemap.csv
https://stackoverflow.com/teams/integrations/github,2.833430051803589,0,stackoverflow.com_sitemap.csv
https://stackoverflow.com/teams/integrations/jira,2.099642038345337,0,stackoverflow.com_sitemap.csv
https://stackoverflow.com/teams/integrations/okta,1.0179541110992432,1,stackoverflow.com_sitemap.csv
https://stackoverflow.com/teams/security,0.012283802032470703,0,stackoverflow.com_sitemap.csv
